links,titles,lyrics,album
/song:growin-up,Growin' Up,"Well I stood stone-like at midnight suspended in my masquerade And I combed my hair till it was just right and commanded the night brigade I was open to pain and crossed by the rain and I walked on a crooked crutch I strode all alone into a fallout zone, came out with my soul untouched I hid in the clouded wrath of the crowd, when they said ""sit down"" I stood up Ooh, ooh, growin' up The flag of piracy flew from my mast, my sails were set wing to wing I had a jukebox graduate for first mate, she couldn't sail but she sure could sing And I pushed B-52 and bombed 'em with the blues with my gear set stubborn on standing I broke all the rules, strafed my old high school, never once gave thought to landing I hid in the clouded warmth of the crowd, when they said ""come down"" I threw up Ooh, ooh, growin' up Looking back, now! I took month-long vacations in the stratosphere and you know it's really hard to hold your breath Swear I lost everything I ever loved or feared, I was the cosmic kid in full costume dress But my feet they finally took root in the earth but I got me a nice little place in the stars And I swear I found the key to the universe in the engine of an old parked car I hid in the mother breast of the crowd, when they said ""pull down"" I pulled up Ooh, ooh, growin' up Ooh, ooh, growin' up Hoohoo Well I stood stone-like at midnight, suspended in my masquerade I combed my hair till it was just right and commanded the night brigade I was open to pain and crossed by the rain and I walked on a crooked crutch Well, I strode all alone into a fallout zone and came out with my soul untouched I hid in the clouded wrath of the crowd, when they said ""sit down"" I stood up Ooh, ooh, growin' up Well the flag of piracy flew from my mast, my sails were set wing to wing I had a jukebox graduate for first mate, she couldn't sail but she sure could sing I pushed B-52 and bombed 'em with the blues with my gear set stubborn on standing We broke all the rules and I strafed my old high school, never once gave thought to landing I stayed in the clouded warmth of the crowd but when they said ""come down"" I threw up Ooh, ooh, growin' up Yeah I took month-long vacations in the stratosphere and you know it's really hard to hold your breath I lost everything I ever loved or feared, I was the cosmic kid in full costume dress Well my feet they finally took root in the earth but I got me a nice little place in the stars I swear I found the key to the universe in the engine of an old parked car I hid in the mothered breast of the crowd, but when they said ""pull down"" I pulled up Ooh, ooh, growin' up","Greetings From Asbury Park, N.J."
/song:guess-things-happen-that-way,Guess Things Happen That Way,NA,NA
/song:guitar-man,Guitar Man,NA,NA
/song:guitar-town,Guitar Town,NA,NA
/song:gulf-coast-highway,Gulf Coast Highway,NA,NA
/song:gunslinger,Gunslinger,NA,NA
/song:gypsy-biker,Gypsy Biker,"The speculators made their money on the blood you shed Your momma's pulled the sheets up off your bed The profiteers on Jane Street sold your shoes and clothes Ain't nobody talkin' because everybody knows We pulled your cycle up back to the garage and polished up the chrome Our gypsy biker's comin' home Sister Mary sits with your colors, brother John is drunk and gone This whole town's been rousted, which side are you on? The favored march up over the hill in some fools parade Shoutin' victory for the righteous but there ain't much here but graves Ain't nobody talkin', we're just waitin' on the phone Gypsy biker's comin' home Whoa! We rode her into the foothills, Bobby brought the gasoline We stood 'round her in a circle as she lit up the ravine The spring high desert wind rushed down on us all the way back home To the dead, well it don't matter much 'bout who's wrong or right You asked me that question, I didn't get it right You slipped into your darkness, now all that remains Is my love for you brother, lying still and unchanged To them that threw you away, you ain't nothin' but gone My gypsy biker's coming home Now I'm out countin' white lines 'Countin white lines and getting stoned My gypsy biker's coming home Whoa! La la la la La la la la La la la la La la la la La la la la La la la la La la la la La la la la …",Magic
/song:gypsy-rider,Gypsy Rider,NA,NA
/song:gypsy-woman,Gypsy Woman,"From nowhere through the caravan 'Round the campfire light A lovely woman in motion With hair as dark as night Her eyes were like that of a cat in the dark They hypnotized me with love She was a gypsy woman She's a gypsy woman She's a gypsy woman She danced around and 'round Guitar's melody From the fire her face was aglow How she enchanted me How I'd like to hold her near And kiss her hair and whisper in her ear I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman All through the caravan She was dancing with all her men Waiting for the rising sun Everybody having fun I hated to see her go Knowing that she'll never know that I love her Oh, that I love her I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman I love you, gypsy woman Ooh woman Ooh",A Tribute to Curtis Mayfield
/song:hail-hail-rock-n-roll,Hail Hail Rock 'N' Roll,NA,NA
/song:hail-to-the-chief,Hail To The Chief,NA,NA
/song:hang-on-sloopy,Hang On Sloopy,NA,NA
/song:hang-up-my-rock-and-roll-shoes,Hang Up My Rock And Roll Shoes,NA,NA
/song:happy,Happy,"Some need gold and some need diamond rings Or a drug to take away the pain that living brings A promise of a better world to come When whatever here is done I don't need that sky of blue babe All I know's since I found you, I'm Happy when I'm in your arms Happy, darling, come the dark Happy when I taste your kiss I'm happy in a love like this There's a house upon a distant hill Where you can hear the laughter of children ring Guardian angels, they watch from above Watching over the love that they bring But at night I feel the darkness near And I awake, I find you near, yeah I'm happy with you in my arms Happy with you in my heart Happy when I taste your kiss I'm happy in a love like this In a world of doubt and fear I wake at night and reach to find you near Lost in a dream, you caught me as I fell, now I want more than just a dream to tell Born in this world, darling, with few days And trouble never far behind Man, woman circle each other in a cage A cage that's been handed down the line Lost and running 'neath a million dead stars Tonight let's shed our skins and slip these bars Happy in each other's arms Happy, baby, come the dark Happy in each other's kiss I'm happy in a love like this Happy Happy",Tracks
/song:happy-birthday,Happy Birthday,NA,NA
/song:happy-birthday-to-you,Happy Birthday To You,NA,NA
/song:hard-times-come-again-no-more,Hard Times (Come Again No More),NA,NA
/song:hard-travelin-hootenanny,Hard Travelin' Hootenanny,"September 29, 1996 [spoken] Are we here? Yep! Guess so. Yeah? Alright! I been doing some hard travelin', I thought you'd know I been doing some hard travelin' way down the road I been doing some hard travelin', hard ramblin', hard gamblin' I been doing some hard travelin', Lord I been ridin' them fast rattlers, I thought you'd know I been ridin' them flat-wheelers way down the road Yeah, I been ridin' them blind passengers, dead enders, kickin' up cinders I been havin' some hard travelin', Lord I been doing some hard travelin', I thought you'd know I been doing some hard travelin' way down the road I been doing some hard travelin', hard ramblin', hard gamblin' I been doing some hard travelin', Lord I been hitting some hard rock mining, I thought you'd know I been leanin' on a pressure drill way down the road Hammer flyin', air hose suckin', six foot of mud, and I sure been a-muckin' I been hittin' some hard travelin', Lord, whoah! I been hittin' some hard harvestin', I thought you'd know North Dakota to Kansas City way down the road Cuttin' that hay, making that hay, tryin' to make about a dollar a day I been havin' some hard travelin', Lord I been doing some hard travelin', I thought you'd know I been doing some hard travelin' way down the road I been doing some hard travelin', hard ramblin', hard gamblin' I been doing some hard travelin', Lord I been workin' at Pittsburgh Steel, I thought you'd know I been workin' that red-hot slag way down the road I been blastin', I been firin', I been pourin' red-hot iron I been havin' some hard travelin', Lord Well, I've been layin' in a hard rock jail, I thought you'd know I been laying there ninety days way down the road Hello Judge, you sentenced me to ninety days for vagrancy And I been travelin' hard, Lord, whoah! I been walkin' that Lincoln Highway, I thought you knowed I been inching on sixty-six way down the road, not kidding you Heavy load and a worried mind, lookin' for a woman it's a-hard to find I been doin' some hard travelin', Lord I been doing some hard travelin', I thought you'd know I been doing some hard travelin' way down the road I been doing some hard travelin', hard ramblin', hard gamblin' I been doing some hard travelin', Lord Whoah! [spoke] Ha ha ha. Ha ha!",NA
/song:harry-s-place,Harry's Place,"Downtown hipsters drinking up the drug line Down in the kitchen working in the coal mine Got a special sin, mister, you can't quite confess Messy little problem, maybe baby need a new dress Razorback diamond you shine too hard Need a hammer help you handle little trouble in your backyard (Bring it on down to Harry's Place) When Harry speaks it's Harry's streets, in Harry's house it's Harry's rules You don't wanna be around, brother, when Harry schools It's Harry's car, Harry's wife, Harry's dogs run Harry's town Your blood and money spit shines Harry's crown You don't fuck with Harry's money, you don't fuck Harry's girls These are the rules, this is the world (When you bring it on down to Harry's Place) (Bring it on down to Harry's Place) You need a little shot of something to improve your health A taste of that one little weakness you allow yourself You're looking for the key of that box you locked yourself in Just step up to the line and be one of Harry's friends Shithole on the corner, no light, no sign Nobody on the street 'cept the deaf, dumb, and blind Mayor Conner's on the couch, Father McGowan's at the bar Chief Horton's at the door checking who the fuck you are Seesaw Bobby dressed in drag and Mr. Nice Carry me into the back room and dim the lights My arms strapped to the table, a thousand angels spinning up the room A voice whispers in my ear, ""We do what we must do"" (When we bring it on down to Harry's Place) (Bring it on down to Harry's Place) (Bring it on down to Harry's Place) (Bring it on down to Harry's Place) Nobody knows his number, nobody knows his name If he didn't exist, it'd all go on just the same (Bring it on down to Harry's Place) (Bring it on down to Harry's Place) (Bring it on down to Harry's Place) (Bring it on down to Harry's Place)",High Hopes
/song:haunted-house,Haunted House,NA,NA
/song:hava-nagila,Hava Nagila,NA,NA
/song:have-a-good-time-but-get-out-alive,Have A Good Time (But Get Out Alive),NA,NA
/song:have-love-will-travel,Have Love Will Travel,NA,NA
/song:have-yourself-a-merry-little-christmas,Have Yourself A Merry Little Christmas,NA,NA
/song:having-a-party,Having A Party,NA,NA
/song:he-can-t-love-you,He Can't Love You,NA,NA
/song:he-was-a-friend-of-mine,He Was A Friend Of Mine,NA,NA
/song:heart-full-of-soul,Heart Full Of Soul,NA,NA
/song:heartbreak-hotel,Heartbreak Hotel,NA,NA
/song:hearts-of-stone,Hearts Of Stone,"You stare in the mirror at the lines in your face And you try to see, girl The way things were when we were at your place In the days it was just you and me, girl And you cry because things ain't like before Well don't you know they can't be that way anymore But don't worry baby But I can't talk now, I'm not alone So put your ear close to the phone 'Cause this is the last dance This is the last chance for hearts of stone Hmmm If there was something, baby, that I could do Something that would last, honey, I would But we all know, girl, especially you do How you can't return to your past, no So girl close your eyes and I'll be there Hold me once more and we can go anywhere Ah, we could babe But I can't talk now, I'm not alone Just put your ear close to the phone This is the last dance The last chance for hearts of stone Whoa well, Big Man And you cry because things ain't like before Well don't you know they can't be like that anymore But don't worry baby I know it baby But I can't talk now, I'm not alone So put your ear close to the phone Baby this is the last chance The last dance for hearts of stone This is the last dance The last chance for hearts of stone Hmmm",Tracks
/song:heat-wave,Heat Wave,NA,NA
/song:heaven-help-the-lonely,Heaven Help The Lonely,NA,NA
/song:heaven-s-wall,Heaven's Wall,"(Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) One, two, three, four (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) There was a woman waiting at the well Drawing water 'neath the desert sky blue She said, ""He'll heal the blind, raise the dead, cure the sickness out of you"" Come on men of Gideon Come on men of Saul Come on sons of Abraham Waiting outside heaven's wall Raise your hand, raise your hand, raise your hand Raise your hand, raise your hand, raise your hand And together we'll walk into Canaan land Raise your hand, raise your hand, raise your hand He saw the watcher at the city gates Jonah in the belly of the whale He watched you walk your ragged mile His mercy did not fail (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) And together we'll walk into Canaan land (Raise your hand, raise your hand, raise your hand) Hey! Lai lai-lai lai, lai lai-lai lai (Lai lai-lai lai, lai lai-lai lai) Whoa! Whoa! One, two! Raise your hand, raise your hand, raise your hand Raise your hand, raise your hand, raise your hand And together we'll walk into Canaan land Raise your hand, raise your hand, raise your hand Raise your hand, raise your hand, raise your hand Raise your hand, raise your hand, raise your hand And together we'll walk into Canaan land Raise your hand, raise your hand, raise your hand (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) And together we'll walk into Canaan land (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) (Raise your hand, raise your hand, raise your hand) And together we'll walk into Canaan land (Raise your hand, raise your hand, raise your hand)",High Hopes
/song:heavy-bertha,Heavy Bertha,NA,NA
/song:held-up-without-a-gun,Held Up Without A Gun,"(One, two three!) Hoah! Turn it up! Come on Steve! I was out driving, just a-taking it slow Looked at my tank, it was reading low Pulled in an Exxon station out on Highway One Oh yeah! Held up without a gun Held up without a gun Some damn fool with a guitar walks in off the street Ain't got nowhere to go, ain't got nothing to eat Man with a cigar says ""sign here, son"" Watch out! Held up without a gun Held up without a gun (Whoah!) (Oh!) (Oh! Oh! Oh!) Now it's a sin and it oughta be a crime You know it happens buddy all the time Trying to make a living, trying to have a little fun Look out! Held up without a gun Held up without a gun Held up without a gun Held up without a gun (Oh!) December 31, 1980 Well I was out driving, just taking it slow Look at my tank it was reading low Pulled in an Exxon station out on Highway One Look out! Held up without a gun Held up without a gun Some damn fool with a guitar walks in off the street Ain't got nowhere to go, ain't got nothing to eat Man with a cigar says ""sign here son"" Look out! Held up without a gun Held up without a gun Now it's a sin and it oughta be a crime You know it happens buddy all of the time Try to make a living, try to have a little fun Held up without a gun Held up without a gun Held up without a gun Held up without a gun",The River: Outtakes
/song:hello-sunshine,Hello Sunshine,"Had enough of heartbreak and pain I had a little sweet spot for the rain For the rain and skies of gray Hello sunshine, won't you stay You know I always liked my walking shoes But you can get a little too fond of the blues You walk too far, you walk away Hello sunshine, won't you stay You know I always loved a lonely town Those empty streets, no one around You fall in love with lonely, you end up that way Hello sunshine, won't you stay Hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm Hmm hmm hmm hmm hmm hmm hmm You know I always liked that empty road No place to be and miles to go But miles to go is miles away Hello sunshine, won't you stay And miles to go is miles away Hello sunshine, won't you stay Hello sunshine, won't you stay Hello sunshine",Western Stars
/song:help-me,Help Me,NA,NA
/song:helpless,Helpless,NA,NA
/song:henry-boy,Henry Boy,"They broke your toys this morning, Henry, rode your board right into dust Surrounded you with strangers who you could not trust And then they had the gall To write your name up on the girl's room wall And send you out to Maria who spoke of babies and all And wanted to shoot your joy It's a hard world when you're the new kid in town, ain't it, Henry Boy Well the North side is for diamond-studded women subtly selling their wares And the West side is for debutantes and would be millionaires Oh the East side is for lost boys who know their moves too well The South side is for gamblers, Henry, the train stops once for hell It's a hard world when they're forcing you to live your life out on Broadway But Henry I'm sure you're gonna like it well Whoa the constellation she points to gate eleven, that's where you got your connections Let me take a look inside my magic book, I don't think you're beyond my inventions Whoa these doctor's appendages I'm giving you for wings, I'm sure they will meet the occasion I'm gonna mix you some magic, you'll be spitting sparks and ready for the invasion Oh and the Milky Way's a trip for dippers, they saw you coming a mile away In the amusement park you'll get clipped by rippers hiding behind candy canes In the alleyway you'll get ripped by strippers all who know your name In the stalls sit the soldier-boy kissers on leave for just a day And Henry couldn't take it, he's gonna be a submariner riding underground for the Pope Gonna stand on the corner of Broadway, and scream ""Up 'scope"" Whoaoaoa",Chapter And Verse
/song:here-comes-the-night,Here Comes The Night,NA,NA
/song:here-she-comes-walkin,Here She Comes Walkin',NA,NA
/song:hernando-s-hideaway,Hernando's Hideaway,NA,NA
/song:he-s-a-rebel,He's A Rebel,NA,NA
/song:he-s-guilty-the-judge-song,He's Guilty (The Judge Song),"All rise Well the judge and the jury came into the court room At about 9:30 the 23rd of June Now we're here to try this boy for his crimes To see if we set him free or make him serve his time Jury all got up in the chairs He's guilty, he's guilty, send that boy to jail Charged with speeding, running down his mother Oh stabbing his wife and strangling her lover Well the court is ready to hear your plea Son, are you guilty or not guilty Jury all got up to hear his plea He's guilty, he's guilty, don't let that boy go free All rise So the judge and the jury came into the court room At about 10:30 the 23rd of June Now we're here to try this boy for his crimes And to see if we set him free or make him serve his time Jury all got up in the chairs He's guilty, he's guilty, send that boy to jail He's guilty, he's guilty, send that boy to jail He's guilty, he's guilty, send that boy to jail",Chapter And Verse
/song:hey-blue-eyes,Hey Blue Eyes,"They're holding a committee of treason and lies Doublespeak and sedition, then somebody dies From the hill the smell of lilacs and the repeat of guns She closes the window, draws the blinds, her first touch sucks the air from my lungs Hey blue eyes, what you doing tonight Hey blue eyes, yeah it's alright She says, ""In this house we've abandoned history, in this house there are no laws Just the false taste of paradise and then the fall In this house the guilty go unpunished, blood and silence prevail Here the dead remain nameless, the nameless remain jailed"" Hey blue eyes, what you doing tonight Hey blue eyes, yeah it's alright In this house there's just the dust of bones, the basement's filled with lye In this house our sons and daughters are spilled like wine So come close my pretty darling and let me feel your disease Tonight I'll have you naked and crawling at the end of my leash Hey blue eyes, what you doing tonight Hey blue eyes, hey it's alright She says, ""In this house it's so easy to set a world on fire All you need is a name, the money, and a soul full of reckless desire Upstairs the landlord is dining here with his criminal friends Don't worry, they'll have the bags packed and be long gone before the real fucking begins"" Hey blue eyes, yeah, what you doing tonight Hey blue eyes, hey it's alright Hey blue eyes, what you doing tonight Hey blue eyes, yeah it's alright",American Beauty
/song:hey-bo-diddley,Hey! Bo Diddley,NA,NA
/song:hey-good-lookin,"Hey, Good Lookin'",NA,NA
/song:hey-joe,Hey Joe,NA,NA
/song:hey-mister,Hey Mister,NA,NA
/song:hey-porter,"Hey, Porter",NA,NA
/song:hey-tonight,Hey Tonight,NA,NA
/song:hey-hey-hey-hey,Hey-Hey-Hey-Hey!,NA,NA
/song:high-hopes,High Hopes,"One, two! Whoa! Monday mornin' runs to Sunday night A scream slow me down before the new year dies Won't take much to kill a lovin' smile And every mother with a baby cryin' in her arms, singin' Give me help, give me strength Give a soul a night of fearless sleep Give me love, give me peace Don't you know these days you pay for everything Got high hopes I got high hopes I got high hopes I got high hopes Yeah comin' from the city, comin' from the wild I see a breathless army breakin' like a cloud They're gonna smother love, they're gonna shoot your hopes Before the meek inherit they'll learn to hate themselves Give me help, give me strength Give a soul a night of fearless sleep Give me love, give me peace Don't you know these days you pay for everything Got high hopes I got high hopes I got high hopes Yeah, I got high hopes Roy! Got high hopes Yeah, I got high hopes I got high hopes I got high hopes Yeah so tell me someone now, what's the price I wanna buy some time and maybe live my life I wanna have a wife, I wanna have some kids I wanna look in their eyes and know they'll stand a chance Give me help, give me strength Give a soul a night of fearless sleep Give me love, give me peace Don't you know these days you pay for everything High hopes Got high hopes I got high hopes Yeah, I got high hopes Break! High hopes I got high hopes Yeah, I got high hopes I got high hopes Yiiii, (I got) high hopes Yeah, high hopes Whoa, high hopes High hopes Yeah, well, I got high hopes Yiiii, got high hopes Yeah, high hopes Yeah, (I got) high hopes Yeah, high hopes Yeah, I got high hopes High hopes",High Hopes
/song:high-school-confidential,High School Confidential,NA,NA
/song:highway-29,Highway 29,"I slipped on her shoe, she was a perfect size seven I said ""there's no smoking in the store ma'am"" She crossed her legs and then We made some small talk, that's where it should have stopped She slipped me a number, I put it in my pocket My hand slipped up her skirt, everything slipped my mind In that little roadhouse on highway 29 It was a small town bank, it was a mess Well I had a gun, you know the rest Money on the floorboards, shirt was covered in blood and she was crying Her and me we headed south on highway 29 In a little desert motel, the air was hot and clean I slept the sleep of the dead, I didn't dream I woke in the morning, washed my face in the sink We headed into the Sierra Madres 'cross the borderline The winter sun, shot through the black trees I told myself it was all something in her But as we drove I knew it was something in me Something had been coming for a long long time And something that was here with me now on highway 29 The road was filled with broken glass and gasoline She wasn't saying nothing, it was just a dream Wind come silent through the windshield All I could see was snow and sky and pines I closed my eyes and I was running And I was running then I was flying",The Ghost Of Tom Joad
/song:highway-61-revisited,Highway 61 Revisited,NA,NA
/song:highway-patrolman,Highway Patrolman,"My name is Joe Roberts, I work for the state I'm a sergeant out of Perrineville, barracks number 8 I always done an honest job, as honest as I could I got a brother named Franky, and Franky ain't no good Now ever since we was young kids, it's been the same come down I get a call on the shortwave, Franky's in trouble downtown Well if it was any other man, I'd put him straight away But when it's your brother sometimes you look the other way Yeah me and Franky laughin' and drinkin', nothin' feels better than blood on blood Takin' turns dancin' with Maria as the band played ""Night of the Johnstown Flood"" I catch him when he's strayin' like any brother would Man turns his back on his family, well he just ain't no good Well Franky went in the army back in 1965 I got a farm deferment, settled down, took Maria for my wife But them wheat prices kept on droppin' till it was like we were gettin' robbed Franky came home in '68 and me I took this job Yeah we're laughin' and drinkin', nothin' feels better than blood on blood Takin' turns dancin' with Maria as the band played ""Night of the Johnstown Flood"" I catch him when he's strayin', teach him how to walk that line Man turns his back on his family, he ain't no friend of mine Well the night was like any other, well I got a call 'bout quarter to nine There was trouble in a roadhouse out on the Michigan line There was a kid lyin' on the floor lookin' bad, bleedin' hard from his head There was a girl cryin' at a table and it was Frank, they said Well I went out and I jumped in my car and I hit the lights Well I musta done a hundred and ten through Michigan County that night It was out at the crossroads, down 'round Willow bank Seen a Buick with Ohio plates, behind the wheel was Frank Well I chased him through them county roads Till a sign said ""Canadian border five miles from here"" I pulled over the side of the highway and watched his taillights disappear Me and Franky laughin' and drinkin', nothin' feels better than blood on blood Takin' turns dancin' with Maria as the band played ""Night of the Johnstown Flood"" I catch him when he's strayin' like any brother would Man turns his back on his family, he just ain't no good",Nebraska
/song:highway-to-hell,Highway To Hell,NA,The Atlas Underground Fire
/song:hi-heel-sneakers,Hi-Heel Sneakers,NA,NA
/song:hippy-hippy-shake,Hippy Hippy Shake,NA,NA
/song:hitch-hikin,Hitch Hikin',"Thumb stuck out as I go I'm just travelin' up the road Maps don't do much for me, friend I follow the weather and the wind I'm hitch hikin' all day long Got what I can carry and my song I'm a rolling stone just rolling on Catch me now 'cause tomorrow I'll be gone Family man gives me a ride Got his pregnant Sally at his side Yes indeed, sir, children are a gift Thank you kindly for the lift I'm hitch hikin' all day long Trucker gears his engine down Says, ""Climb on up, son, I'm highway bound"" Dashboard picture of a pretty girl I'm ridin' high on top of the world I'm hitch hikin' all day long Gearhead in a souped-up '72 Wants to show a kid just what this thing'll do Telephone poles and trees go whizzin' by Thank you pal, she sure can fly I'm hitch hikin' all day long I'm hitch hikin' all day long I'm hitch hikin' all day long",Western Stars
/song:hobo-s-lullaby,Hobo's Lullaby,NA,Give US Your Poor
/song:hold-on-i-m-comin,"Hold On, I'm Comin'",NA,NA
/song:hold-on-to-what-you-got,Hold On (To What You Got),NA,NA
/song:hold-what-you-ve-got,Hold What You've Got,NA,NA
/song:hollywood-kids,Hollywood Kids,NA,NA
/song:homestead,Homestead,NA,American Babylon
/song:honky-tonk,Honky Tonk,NA,NA
/song:honky-tonk-women,Honky Tonk Women,NA,NA
/song:hoochie-coochie-man,Hoochie Coochie Man,NA,NA
/song:hound-dog,Hound Dog,NA,NA
/song:house-of-a-thousand-guitars,House Of A Thousand Guitars,"The blood moon shines across the veil Bells ring out through churches and jails I tally my wounds and count the scars In the house of a thousand guitars The criminal clown has stolen the throne He steals what he can never own May the truth ring out from every small town bar We'll light up the house of a thousand guitars Well it's alright and it's alright Meet me darling come Saturday night All good souls from near and far Will meet in the house of a thousand guitars Here the bitter and the bored Wake in search of the lost chord That'll band us together for as long as there's stars Yeah in the house of a thousand guitars Well it's alright and it's alright Meet me darling come Saturday night Brother and sister wherever you are We'll meet in the house of a thousand guitars So we can shake off your troubles my friend We'll go where the music never ends From the stadiums to the small town bars We'll light up the house of a thousand guitars House of a thousand guitars, house of a thousand guitars Brother and sister wherever you are We'll rise together till we find the spark That'll light up the house of a thousand guitars Well it's alright and it's alright Meet me darling come Saturday night All good souls from near and far We'll meet at the house of a thousand guitars A thousand guitars, a thousand guitars A thousand guitars, a thousand guitars A thousand guitars, a thousand guitars A thousand guitars, a thousand guitars",Letter To You
/song:how-can-a-poor-man-stand-such-times-and-live,How Can A Poor Man Stand Such Times And Live?,"Live version (April 13, 2006) Well the doctor comes 'round here with his face all bright And he says ""in a little while you'll be alright"" All he gives is a humbug pill, a dose of dope and a great big bill Tell me how can a poor man stand such times and live ""Me and my old school pals had some mighty high times down here And what happened to you poor black folks, well it just ain't fair"" He took a look around, gave a little pep talk, said ""I'm with you"" then he took a little walk Tell me how can a poor man stand such times and live There's bodies floatin' on Canal and the levees gone to Hell Martha, get me my sixteen gauge and some dry shells Them who's got got out of town and them who ain't got left to drown Tell me how can a poor man stand such times and live Go ahead! Got family scattered from Texas all the way to Baltimore Yeah and I ain't got no home in this world no more Gonna be a judgment that's a fact, a righteous train rollin' down this track Tell me how can a poor man stand such times and live Tell me how can a poor man stand such times and live Tell me how can a poor man stand such times and live",NA
/song:how-can-i-keep-from-singing,How Can I Keep From Singing?,"My life goes in endless song Above earth's lamentation I hear the real, though far off hymn That hails the new creation What through the tempest loudly roars I hear the truth, it liveth What through the darkness round me close Songs in the night it giveth When tyrants tremble, sick with fear And hear their death-knell ringing When friends rejoice both far and near How can I keep from singing No storm can shake my inmost calm While to that rock I'm clinging Since love is lord of heaven and earth How can I keep from singing",We Shall Overcome: The Seeger Sessions
/song:human-touch,Human Touch,You and me we were the pretenders We let it all slip away In the end what you don't surrender Well the world just strips away Girl ain't no kindness in the face of strangers Ain't gonna find no miracles here Well you can wait on your blessings my darlin' But I got a deal for you right here I ain't lookin' for prayers or pity I ain't comin' 'round searchin' for a crutch I just want someone to talk to And a little of that Human Touch Just a little of that Human Touch Ain't no mercy on the streets of this town Ain't no bread from heavenly skies Ain't nobody drawin' wine from this blood It's just you and me tonight Tell me in a world without pity Do you think what I'm askin's too much? I just want something to hold on to And a little of that Human Touch Just a little of that Human Touch Yeah! Yeah hey! Yeah yeah! Whoa hey yeah yeah! Oh girl that feeling of safety you prize Well it comes with a hard hard price You can't shut off the risk and the pain Without losin' the love that remains We're all riders on this train Yeah hey yeah! Whoa! Hey! Whoa! Yeah yeah! Yeah yeah yeah yeah yeahhh! Whoaaa! So you been broken and you been hurt Show me somebody who ain't Yeah I know I ain't nobody's bargain But hell a little touchup and a little paint You might need somethin' to hold on to When all the answers they don't amount too much Somebody that you could just to talk to And a little of that Human Touch Baby in a world without pity Do you think what I'm askin's too much? I just want to feel you in my arms And share a little of that Human Touch Share a little of that Human Touch Feel a little of that Human Touch in you Feel a little of that Human Touch Share a little of that Human Touch in you Feel a little of that Human Touch Give me a little of that Human Touch in you Give me a little of that Human Touch Heyyy now! Oh yeah! Oh yeah yeah! (Share a little of that Human Touch) (Feel a little of that Human Touch) (Give me a little of that Human Touch) Whoa! Feel a little of that Human Touch Give me a little of that Human Touch (Give me a little of that Human Touch) Whoooa whoooa (Need a love) Ohhh yeahhh! Ohhh yeah! Whoooa Whoooa whoooa Whoooa Whoa!,Human Touch
/song:hungry-heart,Hungry Heart,"Yeah! Come on! Whoa! Got a wife and kids in Baltimore, Jack I went out for a ride and I never went back Like a river that don't know where it's flowing I took a wrong turn and I just kept going Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hu-hu-hungry heart Whoa I met her in a Kingstown bar We fell in love I knew it had to end We took what we had and we ripped it apart Now here I am down in Kingstown again Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hu-hu-hungry heart La la la la la la Ohhh yeah La la la la la la Everybody needs a place to rest Everybody wants to have a home Don't make no difference what nobody says Ain't nobody like to be alone Hey yeah hey Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a hu-hu-hungry heart (Everybody's got a hungry heart) Oh yeah (Everybody's got a) hu-hu-hungry heart (Lay down your money and you play your part) Oh yeah (Everybody's got a hungry heart) Oh yeaah La la la la la la Ohhh yeaaah La la la la la la Oh yeaaah Hmmm Oooh",The River
/song:hunter-of-invisible-game,Hunter Of Invisible Game,"I hauled myself up out of the ditch And built me an ark out of gopher wood and pitch Sat down by the roadside and waited on the rain I am the hunter of invisible game Well I woke last night to the heavy clicking and clack And a scarecrow on fire along the railroad tracks There were empty cities and burning plains I am the hunter of invisible game We all come up a little short and we go down hard These days I spend my time skipping through the dark Through the empires of dust I chant your name I am the hunter of invisible game Through the bone yard rattle and black smoke we rolled on Down into the valley where the beast has his throne There I sing my song and I sharpen my blade I am the hunter of invisible game Strength is vanity and time is illusion I feel you breathing, the rest is confusion Your skin touches mine, what else to explain I am the hunter of invisible game Now pray for yourself and that you may not fall When the hour of deliverance comes on us all When our hope and faith and courage and trust Can rise or vanish like dust into dust Now there's a kingdom of love waiting to be reclaimed I am the hunter of invisible game I am the hunter of invisible game I am the hunter of invisible game",High Hopes
