links,titles,lyrics,album
/song:a-night-with-the-jersey-devil,A Night With The Jersey Devil,"Hear me now! I was born 13th child, 'neath the 13th moon Spit out hungry and born anew Daddy drag me to the river tie me in rocks Throw me in where it's deep and wide I go down, I don't die Hole in the river bottom, I crawl through Come back kill six brothers and sisters, kill Papa too Sway down Mama, sway down low They gonna know me wherever I go Into my bed with her kerosene my mama creep Set my flesh to burning, whilst I sleep I burn, burn, burn, till my soul burn black Black rains fall, I come back, I come back Get down Mama, get down low They gonna know me wherever I go 16 witches cast 16 spells Make me guitar outta skin and human skull Sing you a song like the wind in the sandy loam Bring you baby out'cha your happy home Ram's head, forked tail, clove hoof, love's my trail I sup on your body, sip on your blood like wine Out world theirs, this world mine So kiss me baby till it hurts God lost in heaven, we lost on earth Sway down Mama, sway down low They gonna know me wherever I go (yeah) Wherever I go (yeah), wherever I go Well I got a brand new lover I love her, yes I do Yeah she's my one and only and her name is Baby Blue Now baby, baby, baby Baby, baby, baby, blue That's right Whoah, ha! Well now baby, baby, baby Baby, baby, blue",Working On A Dream
/song:a-rianxeira,A Rianxeira,NA,NA
/song:a-satisfied-mind,A Satisfied Mind,NA,NA
/song:a-story,A Story,NA,NA
/song:a-teenager-in-love,A Teenager In Love,NA,NA
/song:a-winter-s-revelation-in-9-illusions,A Winter's Revelation (In 9 Illusions),NA,NA
/song:a-woman-s-got-the-power,A Woman's Got The Power,NA,NA
/song:achy-breaky-heart,Achy Breaky Heart,NA,NA
/song:across-the-border,Across The Border,"Tonight my bag is packed Tomorrow I'll walk these tracks That'll lead me across the border Tomorrow my love and I Will sleep 'neath auburn skies Somewhere across the border We'll leave behind, my dear Pain and sadness we found here And we'll drink from the Bravo's muddy waters Where the sky grows gray and white We'll meet on the other side There across the border For you I'll build a house High up on a grassy hill Somewhere across the border Where pain and memory Pain and memory have been stilled There across the border And sweet blossoms fill the air Pastures of gold and green Roll down into cool clear waters And in your arms 'neath open skies I'll kiss the sorrow from your eyes There across the border Tonight we'll sing the songs I'll dream of you my corazon And tomorrow my heart will be strong And may the saints' blessings and grace Carry me safely into your arms There across the border For what are we Without hope in our hearts That someday we'll drink from God's blessed waters And eat the fruit from the vine I know love and fortune will be mine Somewhere across the border",The Ghost Of Tom Joad
/song:across-the-borderline,Across The Borderline,NA,NA
/song:action-in-the-streets,Action In The Streets,NA,NA
/song:adam-raised-a-cain,Adam Raised A Cain,"In the summer that I was baptized, my father held me to his side As they put me to the water, he said how on that day I cried We were prisoners of love, a love in chains He was standing in the door, I was standing in the rain With the same hot blood burning in our veins Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) All of the old faces ask you why you're back They fit you with position and the keys to your daddy's Cadillac In the darkness of your room your mother calls you by your true name You remember the faces, the places, the names You know it's never over, it's relentless as the rain Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) (Yeahhh…) In the Bible, mamma, Cain slew Abel and East of Eden, mamma, he was cast You're born into this life paying for the sins of somebody else's past Well Daddy worked his whole life for nothing but the pain Now he walks these empty rooms looking for something to blame But you inherit the sins, you inherit the flames Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Lost but not forgotten from the dark heart of a dream Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (yeah) Adam raised a Cain (Adam raised a Cain) (Whooaaaaaa) (Whooaaaaaa) (Whooaaaaaa) (Whooaaaaaa) (Whooaaaaaa) (Whooaaaaaa) - Yeah! (Whooaaaaaa) - Yeah! (Whooaaaaaa) - Yeah!",Darkness On The Edge Of Town
/song:ain-t-gonna-lose-it-this-time,Ain't Gonna Lose It This Time,NA,NA
/song:ain-t-good-enough-for-you,Ain't Good Enough For You,"Well you don't like, don't like the way I walk And you don't like, don't like the way I talk You criticize about me endlessly Logic defies how you get stuck with me And you complain about the clothes I wear And you explain there's other boys out there You complain my car makes too much noise And you cry I'm always out with the boys Whoa whoa (whoa whoa whoa whoa) I give up little darling (whoa whoa little darling) Yeah no matter what I do, girl you know it's true Ain't good enough for you You complain the way I love you at night You explain I'm really not your type If we go out, you say I'm such a bore If we stay in, you say what are we living for I don't understand, there's nothing I can do There ain't no way I can satisfy you End of the night I lean in for a kiss Here comes the pitch, a swing and a miss Whoa whoa whoa whoa (whoa whoa whoa whoa) I quit little darling (whoa whoa little darling) Yeah no matter what I do, well you know it's true Ain't good enough for you, hey! Hey! (Come on boys!) Whoa whoa whoa whoa (whoa whoa whoa whoa) Hey hey little darling (whoa whoa little darling) No matter what I do, girl you know it's true Ain't good enough for you I tried to change, I got a job in sales I bought a shirt uptown in Bloomindales And babe I tried to make the latest scene Hitting cool just like Jimmy Iovine I bought a record with all the latest grooves A book of love with all the latest moves I bought some flowers and I waited at your door And you came out, didn't want to see me no more Whoa whoa whoa (whoa whoa whoa whoa) I quit little darling (whoa whoa little darling) Yeah no matter what I do, girl you know it's true Ain't good enough for you Hey! Hey! Hey! No matter what I do, girl you know it's true Ain't good enough for you Aww no matter what I do, girl you know it's true Ain't good enough for you Whoaaa! …",The Promise
/song:ain-t-got-you,Ain't Got You,I got the fortunes of heaven in diamonds and gold I got all the bonds baby that the bank could hold Well I got houses 'cross the country honey end to end And everybody buddy wants to be my friend Well I got all the riches baby any man ever knew But the only thing I ain't got honey I ain't got you I got a house full of Rembrandt and priceless art And all the little girls they wanna tear me apart When I walk down the street people stop and stare Well you'd think I might be thrilled but baby I don't care 'Cause I got more good luck honey than old King Farouk But the only thing I ain't got baby I ain't got you I got a big diamond watch sitting on my wrist I try to tempt you baby but you just resist I made a deal with the devil babe I won't deny Until I got you in my arms I can't be satisfied I got a pound of caviar sitting home on ice I got a fancy foreign car that rides like paradise I got a hundred pretty women knocking down my door And folks wanna kiss me I ain't even seen before I been around the world and all across the seven seas Been paid a king's ransom for doing what comes naturally But I'm still the biggest fool honey this world ever knew 'Cause the only thing I ain't got baby I ain't got you,Tunnel Of Love
/song:ain-t-it-strange,Ain't It Strange,NA,NA
/song:ain-t-that-a-shame,Ain't That A Shame,NA,NA
/song:ain-t-that-lovin-you-baby,Ain't That Lovin' You Baby,NA,NA
/song:ain-t-that-peculiar,Ain't That Peculiar,NA,NA
/song:ain-t-too-proud-to-beg,Ain't Too Proud To Beg,NA,NA
/song:alison,Alison,NA,NA
/song:all-along-the-watchtower,All Along The Watchtower,NA,NA
/song:all-i-can-do-is-dream-you,(All I Can Do Is) Dream You,NA,NA
/song:all-i-have-to-do-is-dream,All I Have To Do Is Dream,NA,NA
/song:all-i-need,All I Need,NA,NA
/song:all-i-needed-was-you,All I Needed Was You,NA,NA
/song:all-i-wanna-know,All I Wanna Know,NA,NA
/song:all-i-want-to-do-is-dance,All I Want To Do Is Dance,NA,NA
/song:all-i-m-thinkin-about,All I'm Thinkin' About,NA,Devils & Dust
/song:all-just-to-get-to-you,All Just To Get To You,NA,Letter to Laredo
/song:all-or-nothin-at-all,All Or Nothin' At All,"Said you'd give me just a little kiss And you'd rock me for a little while Well you'd slip me just a piece of it Well listen up little child I want it all or nothing at all, say yeah I want it all or nothing at all You said you'd take me for a little dance If you had a little time on your hands Well all I do is push and shove Just to get a little piece of your love I want it all or nothing at all, hey yeah I want it all or nothing at all Well now I don't wanna be greedy But when it comes to love there ain't no doubt Yeah you just ain't gonna get what you want With one foot in and one foot out, hmm You got to give it all or nothing at all, hey yeah All or nothing at all Yeah na na na na na na na Yeah na na na na na na Yeah na na na na na na na Well now I only got a little time So if you're gonna change your mind Then shout out what you're thinking of If what you're thinking of is love, whoa! I want it all or nothing at all, hey yeah I want it all or nothing at all I wanna have it or nothing at all, hey yeah I want it all or nothing at all Hooo I want it all or nothing at all, hey yeah I wanna give it all or nothing at all Alright, oh yeah, alright, oh yeah Say yeah, alright, say yeah, alright, say yeah, alright, alright …",Human Touch
/song:all-shook-up,All Shook Up,NA,NA
/song:all-that-heaven-will-allow,All That Heaven Will Allow,"I got a dollar in my pocket, there ain't a cloud up above I got a picture in a locket that says baby I love you Well if you didn't look then boys then fellas don't go looking now Well here she comes a-walking, yeah all that heaven will allow Say hey there mister bouncer now all I wanna do is dance But I swear I left my wallet back home in my working pants C'mon Slim slip me in, man, I'll make it up to you somehow I can't be late I got a date with all that heaven will allow Rain and storm and dark skies, well now they don't mean a thing If you got a girl that loves you and who wants to wear your ring So c'mon mister trouble, we'll make it through you somehow We'll fill this house with all the love and all that heaven will allow Now some may wanna die young, man, young and gloriously Get it straight now, mister, hey buddy that ain't me 'Cause I got something on my mind, yeah, that sets me straight and walking proud And I want all the time, yeah all that heaven will allow Yeah I want all the time and all that heaven will allow",Tunnel Of Love
/song:all-the-way-home,All The Way Home,"Whoa! Yeah I know what it's like to have failed, baby With the whole world looking on I know what it's like to have soared And come crashing like a drunk on a bar room floor And now you got no reason to trust me My confidence is a little rusty But if you don't feel like being alone Baby, I could walk you all the way home Well now our old fears and failures Oh baby, they do linger Like the shadow of that ring Hmmm, that was on your finger Those days they've come and gone Baby, I could walk you all the way home Whoa! Whoa! Whoa! Whoa! Yeah love leaves nothing but shadows and vapor We go on, as is our sad nature Baby Now it's some old Stones' song the band is trashing If you feel like dancing, baby I'm asking It's coming on closing time Bartender, he's ringing last call These days I don't stand on pride And I ain't afraid to take a fall So if you're seeing what you like Maybe your first choice he's gone Well that's all right Baby, I could walk you all the way home Baby, I could walk you all the way home Whoa! Yeah! Whoa hoo! Whoa! Whoa hoo! Yeah! Whoa hoo! Come on! Oh yeah!",Devils & Dust
/song:allentown,Allentown,NA,NA
/song:alone,Alone,NA,NA
/song:always-a-friend,Always A Friend,NA,NA
/song:amazing-grace,Amazing Grace,NA,NA
/song:amen,Amen,NA,NA
/song:america,America,NA,NA
/song:america-the-beautiful,America The Beautiful,NA,NA
/song:america-under-fire,America Under Fire,NA,NA
/song:american-babylon,American Babylon,NA,NA
/song:american-beauty,American Beauty,"Everything in your shadow turns to vapor You pierce my heart like it was paper Radio's crackling with the headlines Something on your shoulder, winds in the phone line American beauty will you be mine Out on this highway counting white lines Hot and bloody summer, drifting blue eyes We're in the high grass, I finger your hemline Boot heels click clacking, honey, when you shine Autumn blue skies, hair sweet as the southern pines American beauty forever in time Out on this highway counting white lines Your hand cups your breast, pledging your time Things we carried, shining skylines Falling sparrow, sky torn apart Dark shining arrow, your kiss pierces my heart American beauty forever mine Out on this highway counting white lines",American Beauty
/song:american-land,American Land,"Whoa! What is this land America, so many travel there I'm going now while I'm still young, my darling meet me there Wish me luck my lovely, I'll send for you when I can And we'll make our home in the American land Over there all the women wear silk and satin to their knees And children, dear, the sweets, I hear, are growing on the trees Gold comes rushing out the rivers straight into your hands When you make your home in the American land There's diamonds in the sidewalk, the gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Whoa! Whoa! I docked at Ellis Island in the city of light and spire I wandered to the valley of red-hot steel and fire We made the steel that built the cities with the sweat of our two hands We made our home in the American land Go! There's diamonds in the sidewalk, the gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Whoa! Whoa! Whoa! Whoa! Whoa! ???! Come on! The McNicholas, the Posalskis, the Smiths, Zerillis too The Blacks, the Irish, Italians, the Germans and the Jews They come across the water a thousand miles from home With nothing in their bellies but the fire down below They died building the railroads, they worked to bones and skin They died in the fields and factories, names scattered in the wind They died to get here a hundred years ago, they're still dying now Their hands that built the country we're always trying to keep out There's diamonds in the sidewalk, the gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Who'll make his home in the American land Who'll make his home in the American land Whoa! June 22, 2006 Welcome friends! Alright, hello New York. Hit it Larry! Alright, we got a… immigrant song for New York City. Come on! One, two! Whoa! What is this land America, so many travel there I'm going now while I'm still young, my darling meet me there Wish me luck my lovely, I'll send for you when I can And we'll make our home in the American land Over there the women wear silk and satin to their knees And children dear, the sweets, I hear, are growing on the trees Gold comes rushing out the rivers straight into your hands If you make your home in the American land There's diamonds in the sidewalks, there's gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Whoa! I docked at Ellis Island in a city of light and spire I wandered to the valley of red-hot steel and fire We made the steel that built the cities with the sweat of our two hands And I made my home in the American land There's diamonds in the sidewalk, there's gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Whoa! The McNicholas, the Posalskis, the Smiths, Zerillis too The Blacks, the Irish, Italians, the Germans and the Jews The ???, the ???, the Asians, Arabs miles from home Come across the water with a fire down below They died building the railroads, worked to bones and skin They died in the fields and factories, names scattered in the wind They died to get here a hundred years ago, they're dying now The hands that built the country we're always trying to keep down There's diamonds in the sidewalk, there's gutters lined in song Dear, I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land Who'll make his home in the American land Who'll make his home in the American land Whoa! Whoa! For all you travellers out there!",Wrecking Ball
/song:american-man,American Man,NA,NA
/song:american-music,American Music,NA,NA
